LINENAME,LINENUMBER,CDP,CDP_TRACE,CDP_X,CDP_Y,CDP_LON,CDP_LAT
OA16ESP00044A027,44,2707176,5501,649881.0,6561639.04,-0.3799625370004,59.16544272186187
OA16ESP00044A027,44,2707276,5601,650569.0,6562684.16,-0.3672213938100666,59.174575292206754
OA16ESP00044A027,44,2707376,5701,651252.12,6563730.560000001,-0.354557834199338,59.18371977134869
OA16ESP00044A027,44,2707476,5801,651930.24,6564780.16,-0.3419726644603169,59.19289344955984
OA16ESP00044A027,44,2707576,5901,652610.12,6565829.76,-0.3293499274346066,59.2020652149581
OA16ESP00044A027,44,2707676,6001,653297.2000000001,6566873.6000000015,-0.3165984847644872,59.2111814225366
OA16ESP00044A027,44,2707776,6101,653977.68,6567921.92,-0.3039525230559406,59.22033889969998
OA16ESP00044A027,44,2707876,6201,654667.92,6568963.84,-0.2911334738377923,59.2294341161967
OA16ESP00044A027,44,2707976,6301,655341.12,6570017.28,-0.2785976488931696,59.23863758601358
OA16ESP00044A027,44,2708076,6401,656025.0,6571062.4,-0.2658739816961137,59.24776122302488
OA16ESP00044A027,44,2708176,6501,656709.12,6572108.8,-0.2531383482572854,59.256894945505
OA16ESP00044A027,44,2708276,6601,657393.64,6573155.2,-0.2403888520143215,59.26602720963125
OA16ESP00044A027,44,2708376,6701,658074.48,6574202.88,-0.2276960515984265,59.27517101657409
OA16ESP00044A027,44,2708476,6801,658760.76,6575248.0,-0.2149029211112953,59.284288519478416
OA16ESP00044A027,44,2708576,6901,659439.08,6576298.24,-0.2022387107161686,59.29345362506229
OA16ESP00044A027,44,2708676,7001,660123.92,6577342.72,-0.1894575605120746,59.30256330283495
OA16ESP00044A027,44,2708776,7101,660808.24,6578389.76,-0.1766767544386449,59.31169482117764
OA16ESP00044A027,44,2708876,7201,661496.12,6579433.6000000015,-0.163828977675914,59.3207949592157
OA16ESP00044A027,44,2708976,7301,662167.68,6580487.68,-0.1512530546579967,59.32999187356285
OA16ESP00044A027,44,2709076,7401,662854.0,6581532.8,-0.1384179167554519,59.33910145617516
OA16ESP00044A027,44,2709176,7501,663542.24,6582576.6400000015,-0.1255431189398302,59.34819748561468
OA16ESP00044A027,44,2709276,7601,664215.0,6583629.44,-0.1129264851335138,59.35737856170323
OA16ESP00044A027,44,2709376,7701,664904.68,6584672.0,-0.1000135449554675,59.36645989921058
OA16ESP00044A027,44,2709476,7801,665586.0,6585720.32,-0.0872361578987786,59.375594833298095
OA16ESP00044A027,44,2709576,7901,666269.52,6586766.72,-0.0744146449074492,59.38470263738541
OA16ESP00044A027,44,2709676,8001,666952.48,6587813.12,-0.0615960816864507,59.39381706136605
OA16ESP00044A027,44,2709776,8101,667622.8,6588868.48,-0.0489859194534198,59.40301554404037
OA16ESP00044A027,44,2709876,8201,668302.56,6589916.8,-0.0362083185691063,59.41214583388696
OA16ESP00044A027,44,2709976,8301,668982.48,6590965.76,-0.0234204776263912,59.421280481238895
OA16ESP00044A027,44,2710076,8401,669665.08,6592012.8,-0.0105800508368469,59.43039551005417
OA16ESP00044A027,44,2710176,8501,670344.56,6593061.76,0.0022139173196704,59.43952769021402
OA16ESP00044A027,44,2710276,8601,671025.52,6594110.72,0.0150408886627037,59.44865794744443
OA16ESP00044A027,44,2710376,8701,671706.4,6595157.76,0.0278718674096441,59.45776969241828
OA16ESP00044A027,44,2710476,8801,672385.76,6596207.36,0.0406850752907264,59.46690368918458
OA16ESP00044A027,44,2710576,8901,673066.8,6597255.68,0.0535338146943424,59.476024190983054
OA16ESP00044A027,44,2710676,9001,673747.84,6598304.0,0.0663895238695431,59.48514336106338
OA16ESP00044A027,44,2710776,9101,674430.4,6599351.68,0.079278488647147,59.49425482749951
OA16ESP00044A027,44,2710876,9201,675111.28,6600400.0,0.0921453360451818,59.50337139421517
OA16ESP00044A027,44,2710976,9301,675792.64,6601447.04,0.1050265810090469,59.51247494712587
OA16ESP00044A027,44,2711076,9401,676476.64,6602493.44,0.1179608700023779,59.52157031214757
OA16ESP00044A027,44,2711176,9501,677155.52,6603543.04,0.1308144531920367,59.53069518550623
OA16ESP00044A027,44,2711276,9601,677840.48,6604588.8,0.143779170691038,59.5397817146902
OA16ESP00044A027,44,2711376,9701,678518.24,6605639.04,0.1566275142184415,59.54891012703848
OA16ESP00044A027,44,2711476,9801,679205.84,6606682.88,0.1696512878889262,59.55797561291848
OA16ESP00044A027,44,2711576,9901,679891.52,6607728.0,0.1826492638745976,59.56705203415845
OA16ESP00044A027,44,2711676,10001,680573.04,6608775.68,0.1955829337656038,59.57615184237076
OA16ESP00044A027,44,2711776,10101,681250.08,6609826.560000001,0.2084471646615663,59.5852809342317
OA16ESP00044A027,44,2711876,10201,681936.4,6610872.32,0.2214781243926893,59.59435874902834
OA16ESP00044A027,44,2711976,10301,682620.4,6611918.72,0.2344756682590236,59.60344194776
OA16ESP00044A027,44,2712076,10401,683300.4,6612967.04,0.24741116166809,59.61254275407936
OA16ESP00044A027,44,2712176,10501,683978.0,6614017.28,0.2603128930776593,59.621660482375546
OA16ESP00044A027,44,2712276,10601,684655.6,6615068.8,0.2732227826805434,59.6307883440539
OA16ESP00044A027,44,2712376,10701,685332.0,6616119.04,0.2861173566932923,59.63990392000604
OA16ESP00044A027,44,2712476,10801,686019.28,6617162.88,0.29920603018433,59.64895592896636
OA16ESP00044A027,44,2712576,10901,686702.48,6618211.2,0.3122334839430505,59.65804854736464
OA16ESP00044A027,44,2712676,11001,687377.68,6619262.08,0.3251285488428346,59.66716634438773
OA16ESP00044A027,44,2712776,11101,688067.12,6620305.28,0.3382762128359329,59.67620752725664
OA16ESP00044A027,44,2712876,11201,688756.0,6621347.84,0.3514205021801801,59.685241835732434
OA16ESP00044A027,44,2712976,11301,689445.76,6622391.04,0.3645880963667456,59.69428009062477
OA16ESP00044A027,44,2713076,11401,690121.12,6623442.560000001,0.3775149183100864,59.70339810895242
OA16ESP00044A027,44,2713176,11501,690793.28,6624496.0,0.3903937839693963,59.71253345868367
OA16ESP00044A027,44,2713276,11601,691481.12,6625541.12,0.4035504193438768,59.72158567441232
OA16ESP00044A027,44,2713288,11613,691560.24,6625669.12,0.4050713412265346,59.72269659896272
,-999,-999,-999,,,,
OA16ESP00064A053,64,5301682,1,604709.68,6584980.48,-1.1582700469496023,59.38847148494527
OA16ESP00064A053,64,5301782,101,605958.88,6585008.0,-1.1362767510189746,59.38840634777296
OA16ESP00064A053,64,5301882,201,607209.36,6585024.0,-1.114266835375322,59.38823378405692
OA16ESP00064A053,64,5301982,301,608458.64,6585041.28,-1.092277685752652,59.388069305392136
OA16ESP00064A053,64,5302082,401,609708.48,6585057.92,-1.070279298371796,59.38789523215532
OA16ESP00064A053,64,5302182,501,610957.52,6585082.24,-1.0482913250114445,59.38778658833054
OA16ESP00064A053,64,5302282,601,612206.88,6585098.24,-1.026302280840289,59.38759948474206
OA16ESP00064A053,64,5302382,701,613456.64,6585107.84,-1.0043098963130068,59.387351131300285
OA16ESP00064A053,64,5302482,801,614705.88,6585128.96,-0.9823209155802072,59.38720259993991
OA16ESP00064A053,64,5302582,901,615955.36,6585144.32,-0.9603310905013116,59.38699860520141
OA16ESP00064A053,64,5302682,1001,617204.88,6585160.32,-0.9383405575563551,59.38679663790035
OA16ESP00064A053,64,5302782,1101,618454.56,6585175.04,-0.916348257860254,59.38657943354265
OA16ESP00064A053,64,5302882,1201,619703.76,6585192.96,-0.8943629842511562,59.38638737650541
OA16ESP00064A053,64,5302982,1301,620953.64,6585209.6000000015,-0.8723668002858129,59.3861799342332
